img,ann,phase,split,fold
data/public/img/train/0a604262317e6f248d54f365fe0d782a.jpg,data/public/ann/train/0a604262317e6f248d54f365fe0d782a.png,public,train,4
data/public/img/train/0aaaf15f9bce7c3a4b56ce455b44962e.jpg,data/public/ann/train/0aaaf15f9bce7c3a4b56ce455b44962e.png,public,train,1
data/public/img/train/0abba4d267cddd5750f94773b0a69403.jpg,data/public/ann/train/0abba4d267cddd5750f94773b0a69403.png,public,train,3
data/public/img/train/0abc4edfed3a7a41ce4f7f546a649795.jpg,data/public/ann/train/0abc4edfed3a7a41ce4f7f546a649795.png,public,train,1
data/public/img/train/0aca777fdf2614ccc76e006c86743429.jpg,data/public/ann/train/0aca777fdf2614ccc76e006c86743429.png,public,train,4
data/public/img/train/0ace6e147262ef6a5f383331d02f3a8d.jpg,data/public/ann/train/0ace6e147262ef6a5f383331d02f3a8d.png,public,train,2
data/public/img/train/0ad3772cc379008bc5a49123a90dd99b.jpg,data/public/ann/train/0ad3772cc379008bc5a49123a90dd99b.png,public,train,0
data/public/img/train/0ad7854c56720c651da42ac30f2952f6.jpg,data/public/ann/train/0ad7854c56720c651da42ac30f2952f6.png,public,train,0
data/public/img/train/0ad854342b420daa700c9e72983bc809.jpg,data/public/ann/train/0ad854342b420daa700c9e72983bc809.png,public,train,3
data/public/img/train/0ae4c4c257c101165dce65d33431fa1f.jpg,data/public/ann/train/0ae4c4c257c101165dce65d33431fa1f.png,public,train,4
data/public/img/train/0aec6fffb81440adce70d19b05e6582a.jpg,data/public/ann/train/0aec6fffb81440adce70d19b05e6582a.png,public,train,0
data/public/img/train/0afdac7a3fe961a3b6b27660260d82c3.jpg,data/public/ann/train/0afdac7a3fe961a3b6b27660260d82c3.png,public,train,0
data/public/img/train/0b1c86272164b939497da181c8c08240.jpg,data/public/ann/train/0b1c86272164b939497da181c8c08240.png,public,train,0
data/public/img/train/0b4bd3b4cda1af8fe30623c994cdd660.jpg,data/public/ann/train/0b4bd3b4cda1af8fe30623c994cdd660.png,public,train,1
data/public/img/train/0b6a0e66b3a4b8c6589c9d0b2512211e.jpg,data/public/ann/train/0b6a0e66b3a4b8c6589c9d0b2512211e.png,public,train,1
data/public/img/train/00b8f9ecebc1393635f0f99dc2b74875.jpg,data/public/ann/train/00b8f9ecebc1393635f0f99dc2b74875.png,public,train,2
data/public/img/train/0b45c0da616f1144144567529f91c805.jpg,data/public/ann/train/0b45c0da616f1144144567529f91c805.png,public,train,4
data/public/img/train/0b67a8267501345beb6c87089576dedb.jpg,data/public/ann/train/0b67a8267501345beb6c87089576dedb.png,public,train,1
data/public/img/train/0b0322ca5d450f44d83acbd800f78da0.jpg,data/public/ann/train/0b0322ca5d450f44d83acbd800f78da0.png,public,train,1
data/public/img/train/0b425d84f19bd6a0787003389b703c33.jpg,data/public/ann/train/0b425d84f19bd6a0787003389b703c33.png,public,train,0
data/public/img/train/0b1823cb02f5ed5dbb01e0e84717a0d1.jpg,data/public/ann/train/0b1823cb02f5ed5dbb01e0e84717a0d1.png,public,train,4
data/public/img/train/0b7600ab4ebb6c49924bb2f253a569f5.jpg,data/public/ann/train/0b7600ab4ebb6c49924bb2f253a569f5.png,public,train,1
data/public/img/train/0b2302473de68e43cd2b8e2e3eb6eae2.jpg,data/public/ann/train/0b2302473de68e43cd2b8e2e3eb6eae2.png,public,train,2
data/public/img/train/00ba6e5339894347e74e4c31e17546a9.jpg,data/public/ann/train/00ba6e5339894347e74e4c31e17546a9.png,public,train,1
data/public/img/train/0be282c41847912eff6a6b26432b3499.jpg,data/public/ann/train/0be282c41847912eff6a6b26432b3499.png,public,train,4
data/public/img/train/0bf9774d12c593868820416938e00344.jpg,data/public/ann/train/0bf9774d12c593868820416938e00344.png,public,train,2
data/public/img/train/0c1b0bb7925db11005f90fc1ade5678c.jpg,data/public/ann/train/0c1b0bb7925db11005f90fc1ade5678c.png,public,train,2
data/public/img/train/0c3eb6d2f6f4da53d15420582f2eb500.jpg,data/public/ann/train/0c3eb6d2f6f4da53d15420582f2eb500.png,public,train,3
data/public/img/train/0c5f6f5012316d9aeb3a14edb5fde481.jpg,data/public/ann/train/0c5f6f5012316d9aeb3a14edb5fde481.png,public,train,1
data/public/img/train/0c7a64682352c79c811e835f51cdd94b.jpg,data/public/ann/train/0c7a64682352c79c811e835f51cdd94b.png,public,train,3
data/public/img/train/0c7e3d5efaac8b8510ac795a74d97405.jpg,data/public/ann/train/0c7e3d5efaac8b8510ac795a74d97405.png,public,train,0
data/public/img/train/0c8b53ef1ef5cd1a46c1ddae605b9c7b.jpg,data/public/ann/train/0c8b53ef1ef5cd1a46c1ddae605b9c7b.png,public,train,2
data/public/img/train/0c8dfa93f2f603c042034a178db89bd7.jpg,data/public/ann/train/0c8dfa93f2f603c042034a178db89bd7.png,public,train,2
data/public/img/train/0c8f7d39d9cfd13f2ca51930ff4763ed.jpg,data/public/ann/train/0c8f7d39d9cfd13f2ca51930ff4763ed.png,public,train,3
data/public/img/train/0c42e5a18a665e7f8ffa5be6c58c67e7.jpg,data/public/ann/train/0c42e5a18a665e7f8ffa5be6c58c67e7.png,public,train,3
data/public/img/train/0c84dd5d0f5cfe6b37d5882c4fa29b2e.jpg,data/public/ann/train/0c84dd5d0f5cfe6b37d5882c4fa29b2e.png,public,train,1
data/public/img/train/0c420a8271a6ee9beaf9f80024c8b926.jpg,data/public/ann/train/0c420a8271a6ee9beaf9f80024c8b926.png,public,train,0
data/public/img/train/0c2000ea9441f9632e0abd6f9ebd9bc8.jpg,data/public/ann/train/0c2000ea9441f9632e0abd6f9ebd9bc8.png,public,train,4
data/public/img/train/0c70881c642c7b8d7a6649a72b721d4b.jpg,data/public/ann/train/0c70881c642c7b8d7a6649a72b721d4b.png,public,train,3
data/public/img/train/0c89169710bf2a28c29760600cb9d837.jpg,data/public/ann/train/0c89169710bf2a28c29760600cb9d837.png,public,train,4
data/public/img/train/0ca75dfdbe8800334a73345259523639.jpg,data/public/ann/train/0ca75dfdbe8800334a73345259523639.png,public,train,2
data/public/img/train/0ca5218821aa5cc037ddaa7ca7fd0dc0.jpg,data/public/ann/train/0ca5218821aa5cc037ddaa7ca7fd0dc0.png,public,train,0
data/public/img/train/00cc8ab42292bc2826c41f8aaad87790.jpg,data/public/ann/train/00cc8ab42292bc2826c41f8aaad87790.png,public,train,0
data/public/img/train/0cd05d1193fe2d10a7eb96d8b516ac18.jpg,data/public/ann/train/0cd05d1193fe2d10a7eb96d8b516ac18.png,public,train,2
data/public/img/train/0ced0465967bfa9c727b5bb5308e86b1.jpg,data/public/ann/train/0ced0465967bfa9c727b5bb5308e86b1.png,public,train,1
data/public/img/train/0d0f0a8425aaf17e7a58408ed552071a.jpg,data/public/ann/train/0d0f0a8425aaf17e7a58408ed552071a.png,public,train,3
data/public/img/train/0d01dd374c1974e53f75cc6084de6b3c.jpg,data/public/ann/train/0d01dd374c1974e53f75cc6084de6b3c.png,public,train,0
data/public/img/train/0d2effc5eaadf8ff9958ceb33d5140cd.jpg,data/public/ann/train/0d2effc5eaadf8ff9958ceb33d5140cd.png,public,train,1
data/public/img/train/0d2f1bbf51e675ed17cadf17af590453.jpg,data/public/ann/train/0d2f1bbf51e675ed17cadf17af590453.png,public,train,3
data/public/img/train/00d3c50f00fdd549de31c2926b3e4f67.jpg,data/public/ann/train/00d3c50f00fdd549de31c2926b3e4f67.png,public,train,4
data/public/img/train/0d4a32a3d220ff2a496dcb2b4e5a3e07.jpg,data/public/ann/train/0d4a32a3d220ff2a496dcb2b4e5a3e07.png,public,train,0
data/public/img/train/0d4cf92e1cc0847178f0ad79e186456d.jpg,data/public/ann/train/0d4cf92e1cc0847178f0ad79e186456d.png,public,train,2
data/public/img/train/0d5b765f1e37036bc9243f9d1fca3a40.jpg,data/public/ann/train/0d5b765f1e37036bc9243f9d1fca3a40.png,public,train,0
data/public/img/train/0d5cfb18d2415824313742539e4368a2.jpg,data/public/ann/train/0d5cfb18d2415824313742539e4368a2.png,public,train,3
data/public/img/train/0d8cdcac19ed98a8bcacf02020eaca05.jpg,data/public/ann/train/0d8cdcac19ed98a8bcacf02020eaca05.png,public,train,0
data/public/img/train/0d09cf4d13566b96a88309bba7a9d2d7.jpg,data/public/ann/train/0d09cf4d13566b96a88309bba7a9d2d7.png,public,train,3
data/public/img/train/0d19e154efca0d13eab00a4b3c7afb1e.jpg,data/public/ann/train/0d19e154efca0d13eab00a4b3c7afb1e.png,public,train,0
data/public/img/train/0d82b790210c04dc67b8191f973a1aad.jpg,data/public/ann/train/0d82b790210c04dc67b8191f973a1aad.png,public,train,4
data/public/img/train/0d319ec10384a9455cb838b9341919f9.jpg,data/public/ann/train/0d319ec10384a9455cb838b9341919f9.png,public,train,3
data/public/img/train/0d75691f87a2aa43ae95dba4f4bb5117.jpg,data/public/ann/train/0d75691f87a2aa43ae95dba4f4bb5117.png,public,train,4
data/public/img/train/0d83048d7f544245951c899441b02de4.jpg,data/public/ann/train/0d83048d7f544245951c899441b02de4.png,public,train,2
data/public/img/train/0d112117b3c3878aa33242cc206e8a7e.jpg,data/public/ann/train/0d112117b3c3878aa33242cc206e8a7e.png,public,train,1
data/public/img/train/0d615572b1d5b99ac6beb7d7163638e9.jpg,data/public/ann/train/0d615572b1d5b99ac6beb7d7163638e9.png,public,train,2
data/public/img/train/0da086c449e045fbee1c7c46ab6fae13.jpg,data/public/ann/train/0da086c449e045fbee1c7c46ab6fae13.png,public,train,3
data/public/img/train/0da611ad357767d48b20ac5cc9f82628.jpg,data/public/ann/train/0da611ad357767d48b20ac5cc9f82628.png,public,train,4
data/public/img/train/0da90896349c68d03c7182c531be0128.jpg,data/public/ann/train/0da90896349c68d03c7182c531be0128.png,public,train,0
data/public/img/train/0daff75164acee59e2efb5439dfda621.jpg,data/public/ann/train/0daff75164acee59e2efb5439dfda621.png,public,train,0
data/public/img/train/00dc77d44bf348271edc185375cd0e93.jpg,data/public/ann/train/00dc77d44bf348271edc185375cd0e93.png,public,train,2
data/public/img/train/0de23e11d00d6ab0f631bc27ea6220cc.jpg,data/public/ann/train/0de23e11d00d6ab0f631bc27ea6220cc.png,public,train,2
data/public/img/train/0df4306b914dc89c7f8c5996d7948f93.jpg,data/public/ann/train/0df4306b914dc89c7f8c5996d7948f93.png,public,train,1
data/public/img/train/0e0a4e8f115e3a617aef9bd23e46a4e4.jpg,data/public/ann/train/0e0a4e8f115e3a617aef9bd23e46a4e4.png,public,train,4
data/public/img/train/0e0cef422cf3ef7181b6935fa02e4e1b.jpg,data/public/ann/train/0e0cef422cf3ef7181b6935fa02e4e1b.png,public,train,2
data/public/img/train/0e1bc4ade21912e99dcd0c10694bfa70.jpg,data/public/ann/train/0e1bc4ade21912e99dcd0c10694bfa70.png,public,train,3
data/public/img/train/0e1ef0853c7db5a04b5c8fb7b6bbe2a1.jpg,data/public/ann/train/0e1ef0853c7db5a04b5c8fb7b6bbe2a1.png,public,train,4
data/public/img/train/0e2d01ce293965e86adfb67ff96614f3.jpg,data/public/ann/train/0e2d01ce293965e86adfb67ff96614f3.png,public,train,1
data/public/img/train/0e36cfcd55c8f60b0a9619bf8bbab954.jpg,data/public/ann/train/0e36cfcd55c8f60b0a9619bf8bbab954.png,public,train,4
data/public/img/train/0e50aaa5af7ae1e1c1905059b6c746d7.jpg,data/public/ann/train/0e50aaa5af7ae1e1c1905059b6c746d7.png,public,train,4
data/public/img/train/0e80c0820d934daf90347ee06a64f9d4.jpg,data/public/ann/train/0e80c0820d934daf90347ee06a64f9d4.png,public,train,4
data/public/img/train/0e467feadde6bfeabb5edfe3fc9a7ce5.jpg,data/public/ann/train/0e467feadde6bfeabb5edfe3fc9a7ce5.png,public,train,4
data/public/img/train/0e869c12bba3f26e1f940ea1ca4942a8.jpg,data/public/ann/train/0e869c12bba3f26e1f940ea1ca4942a8.png,public,train,3
data/public/img/train/0e524133da5ff615a27e46373063d481.jpg,data/public/ann/train/0e524133da5ff615a27e46373063d481.png,public,train,2
data/public/img/train/0e96736221229669d2ecb36c4749c37a.jpg,data/public/ann/train/0e96736221229669d2ecb36c4749c37a.png,public,train,4
data/public/img/train/0ea0befb1686752219f21c5a659719e4.jpg,data/public/ann/train/0ea0befb1686752219f21c5a659719e4.png,public,train,3
data/public/img/train/0ec707f52fb3c16e6b6e65d554448a92.jpg,data/public/ann/train/0ec707f52fb3c16e6b6e65d554448a92.png,public,train,1
data/public/img/train/0ed27376bbed96914d3c82983a0012b6.jpg,data/public/ann/train/0ed27376bbed96914d3c82983a0012b6.png,public,train,4
data/public/img/train/0f3d880754021519798abb1099b1c1e2.jpg,data/public/ann/train/0f3d880754021519798abb1099b1c1e2.png,public,train,2
data/public/img/train/0f8d137746b2b8b3fb0804d008cf7bbc.jpg,data/public/ann/train/0f8d137746b2b8b3fb0804d008cf7bbc.png,public,train,1
data/public/img/train/0f60f2a1daa9d786b680953646b56f17.jpg,data/public/ann/train/0f60f2a1daa9d786b680953646b56f17.png,public,train,0
data/public/img/train/0f82f81e68c635b0a46928e579977738.jpg,data/public/ann/train/0f82f81e68c635b0a46928e579977738.png,public,train,0
data/public/img/train/0f5690fdafd83221c2ecb64ecbffa7d4.jpg,data/public/ann/train/0f5690fdafd83221c2ecb64ecbffa7d4.png,public,train,1
data/public/img/train/0f70237d1baeae13f5a4c7d44b9a7a8a.jpg,data/public/ann/train/0f70237d1baeae13f5a4c7d44b9a7a8a.png,public,train,2
data/public/img/train/0f74080ec474cfd15b5f5f4386bfc083.jpg,data/public/ann/train/0f74080ec474cfd15b5f5f4386bfc083.png,public,train,2
data/public/img/train/0f97648dc50b489194a91223a07bfb13.jpg,data/public/ann/train/0f97648dc50b489194a91223a07bfb13.png,public,train,4
data/public/img/train/0f959392cdeaca7ce78932dfaa9ddf3f.jpg,data/public/ann/train/0f959392cdeaca7ce78932dfaa9ddf3f.png,public,train,2
data/public/img/train/0fa23e93e1db938e0ad6a26199a7c230.jpg,data/public/ann/train/0fa23e93e1db938e0ad6a26199a7c230.png,public,train,0
data/public/img/train/0fa686d5f93ddc4ccf3e0bd61b9a78eb.jpg,data/public/ann/train/0fa686d5f93ddc4ccf3e0bd61b9a78eb.png,public,train,4
data/public/img/train/0facc5d7651133ee025811392e50e91f.jpg,data/public/ann/train/0facc5d7651133ee025811392e50e91f.png,public,train,0
data/public/img/train/0fae2e02580f559f017311b5e331b922.jpg,data/public/ann/train/0fae2e02580f559f017311b5e331b922.png,public,train,1
data/public/img/train/0fcc7ffb2da76025434ba243c9c21a8a.jpg,data/public/ann/train/0fcc7ffb2da76025434ba243c9c21a8a.png,public,train,1
data/public/img/train/0ff09bc2783e76317156d37c131ded26.jpg,data/public/ann/train/0ff09bc2783e76317156d37c131ded26.png,public,train,1
data/public/img/train/1a2aa58f5ea9dcd0956632cb38bb0ab8.jpg,data/public/ann/train/1a2aa58f5ea9dcd0956632cb38bb0ab8.png,public,train,2
data/public/img/train/1a3a0655e02b923b42ac62f40d99f5fc.jpg,data/public/ann/train/1a3a0655e02b923b42ac62f40d99f5fc.png,public,train,4
data/public/img/train/1a6a61abd3cc323c89305cc789ca1b08.jpg,data/public/ann/train/1a6a61abd3cc323c89305cc789ca1b08.png,public,train,1
data/public/img/train/1a7f993f221fefd8470db61debcd800a.jpg,data/public/ann/train/1a7f993f221fefd8470db61debcd800a.png,public,train,0
data/public/img/train/1a9f5c2297cdf166c939b29760ce6f0b.jpg,data/public/ann/train/1a9f5c2297cdf166c939b29760ce6f0b.png,public,train,3
data/public/img/train/1a37cccfa9a65f75b73023d90bc6ceb6.jpg,data/public/ann/train/1a37cccfa9a65f75b73023d90bc6ceb6.png,public,train,0
data/public/img/train/1a86a057010d49b6c037ef102664c43f.jpg,data/public/ann/train/1a86a057010d49b6c037ef102664c43f.png,public,train,0
data/public/img/train/1a88f92c5d52161efca2bf458627238f.jpg,data/public/ann/train/1a88f92c5d52161efca2bf458627238f.png,public,train,4
data/public/img/train/1a739acf493f92c006ab70a8c0897112.jpg,data/public/ann/train/1a739acf493f92c006ab70a8c0897112.png,public,train,0
data/public/img/train/1a923c2139f451c5d9ab99f20e972135.jpg,data/public/ann/train/1a923c2139f451c5d9ab99f20e972135.png,public,train,3
data/public/img/train/1a38670d25302e4df96768f420332a20.jpg,data/public/ann/train/1a38670d25302e4df96768f420332a20.png,public,train,4
data/public/img/train/1a59598fe7cf17aab5bdfaf629aeafaf.jpg,data/public/ann/train/1a59598fe7cf17aab5bdfaf629aeafaf.png,public,train,3
data/public/img/train/01a98378b3fa9aa60538b722e5acf1c4.jpg,data/public/ann/train/01a98378b3fa9aa60538b722e5acf1c4.png,public,train,3
data/public/img/train/1ac5d41c4f8a5e392d7a35f3020f43f8.jpg,data/public/ann/train/1ac5d41c4f8a5e392d7a35f3020f43f8.png,public,train,1
data/public/img/train/1ac24a117beb134f26accdebc6a86474.jpg,data/public/ann/train/1ac24a117beb134f26accdebc6a86474.png,public,train,0
data/public/img/train/001ac635ef288efcd55a87648c501f78.jpg,data/public/ann/train/001ac635ef288efcd55a87648c501f78.png,public,train,3
data/public/img/train/1acf811b78be71e0976a943607dffd6e.jpg,data/public/ann/train/1acf811b78be71e0976a943607dffd6e.png,public,train,3
data/public/img/train/1ad2afcda42da16f3aa9d6524eb4cf8d.jpg,data/public/ann/train/1ad2afcda42da16f3aa9d6524eb4cf8d.png,public,train,1
data/public/img/train/1ad3baa6de26f771ab1dd50c302efca6.jpg,data/public/ann/train/1ad3baa6de26f771ab1dd50c302efca6.png,public,train,2
data/public/img/train/1b3caa9ac39d85cc1f20fb2a3d3f8a03.jpg,data/public/ann/train/1b3caa9ac39d85cc1f20fb2a3d3f8a03.png,public,train,3
data/public/img/train/1b3d7fd535c5554de004f24d8a1efb25.jpg,data/public/ann/train/1b3d7fd535c5554de004f24d8a1efb25.png,public,train,1
data/public/img/train/1ba57e7d8a18b18f7de312ff9c73b4e7.jpg,data/public/ann/train/1ba57e7d8a18b18f7de312ff9c73b4e7.png,public,train,4
data/public/img/train/1bfe6ac0a52f9e70b9167a8528156f99.jpg,data/public/ann/train/1bfe6ac0a52f9e70b9167a8528156f99.png,public,train,1
data/public/img/train/1bfff618cbafdcbd8f83fe759a6a12af.jpg,data/public/ann/train/1bfff618cbafdcbd8f83fe759a6a12af.png,public,train,4
data/public/img/train/1c1c17041654a269f7b01ebbb0071cd8.jpg,data/public/ann/train/1c1c17041654a269f7b01ebbb0071cd8.png,public,train,3
data/public/img/train/1c6b3dd03603586811945efde2a7bbe0.jpg,data/public/ann/train/1c6b3dd03603586811945efde2a7bbe0.png,public,train,2
data/public/img/train/1c8f2e3b5b2dae378e491120cf0ac1e6.jpg,data/public/ann/train/1c8f2e3b5b2dae378e491120cf0ac1e6.png,public,train,3
data/public/img/train/01c9f4b814ccb00cdb7c1d2d30bb7dd5.jpg,data/public/ann/train/01c9f4b814ccb00cdb7c1d2d30bb7dd5.png,public,train,3
data/public/img/train/1c59e997e4229de62b48c21830495385.jpg,data/public/ann/train/1c59e997e4229de62b48c21830495385.png,public,train,4
data/public/img/train/1c89c04005617a84e0c78a3d601acbdc.jpg,data/public/ann/train/1c89c04005617a84e0c78a3d601acbdc.png,public,train,2
data/public/img/train/1c405e025acb64ea373068f0f6e138eb.jpg,data/public/ann/train/1c405e025acb64ea373068f0f6e138eb.png,public,train,0
data/public/img/train/1c964f22c737c74de01c5d5446e7c0cc.jpg,data/public/ann/train/1c964f22c737c74de01c5d5446e7c0cc.png,public,train,3
data/public/img/train/1c15886ba094f3c2a253498f801be6f6.jpg,data/public/ann/train/1c15886ba094f3c2a253498f801be6f6.png,public,train,0
data/public/img/train/1c036417c67b22e49a21cb103e757223.jpg,data/public/ann/train/1c036417c67b22e49a21cb103e757223.png,public,train,4
data/public/img/train/1c96137136c7657fcc303766541d424a.jpg,data/public/ann/train/1c96137136c7657fcc303766541d424a.png,public,train,3
data/public/img/train/1ca72b92b8d6cce257989009cefa7a71.jpg,data/public/ann/train/1ca72b92b8d6cce257989009cefa7a71.png,public,train,4
data/public/img/train/1ca99e89e8aa8207ccb95b4bc6dbc874.jpg,data/public/ann/train/1ca99e89e8aa8207ccb95b4bc6dbc874.png,public,train,0
data/public/img/train/1caf0b91a7dc37c8dfed56f4deac3aab.jpg,data/public/ann/train/1caf0b91a7dc37c8dfed56f4deac3aab.png,public,train,1
data/public/img/train/1cba4d3c89a003adb740aa6b508fd6f5.jpg,data/public/ann/train/1cba4d3c89a003adb740aa6b508fd6f5.png,public,train,4
data/public/img/train/1cbb82fd18adfc466b3fec99340bdfeb.jpg,data/public/ann/train/1cbb82fd18adfc466b3fec99340bdfeb.png,public,train,1
data/public/img/train/01cc820983790f16d2abdb1959f3ddcb.jpg,data/public/ann/train/01cc820983790f16d2abdb1959f3ddcb.png,public,train,0
data/public/img/train/1ccb0c67ad0dde062d6f56232976a852.jpg,data/public/ann/train/1ccb0c67ad0dde062d6f56232976a852.png,public,train,0
data/public/img/train/01ce4a8d4645b27cccac66711b9948f8.jpg,data/public/ann/train/01ce4a8d4645b27cccac66711b9948f8.png,public,train,4
data/public/img/train/01ce4c01a4ce03ea6c98767d8e472e25.jpg,data/public/ann/train/01ce4c01a4ce03ea6c98767d8e472e25.png,public,train,2
data/public/img/train/1d1ef1b53f89e428e9f132cfdae97160.jpg,data/public/ann/train/1d1ef1b53f89e428e9f132cfdae97160.png,public,train,1
data/public/img/train/1d3bc59d3ec9e20e52b3a02a34b6f772.jpg,data/public/ann/train/1d3bc59d3ec9e20e52b3a02a34b6f772.png,public,train,1
data/public/img/train/1d5d55cf2ddc88b80ef25f87aebe77ae.jpg,data/public/ann/train/1d5d55cf2ddc88b80ef25f87aebe77ae.png,public,train,2
data/public/img/train/1d6c688e9e6fa778b712b76c916a4efb.jpg,data/public/ann/train/1d6c688e9e6fa778b712b76c916a4efb.png,public,train,3
data/public/img/train/1d89da89e705483f9ad1136c7d31e50f.jpg,data/public/ann/train/1d89da89e705483f9ad1136c7d31e50f.png,public,train,0
data/public/img/train/1d272a773d3957b6c459f37c48da631d.jpg,data/public/ann/train/1d272a773d3957b6c459f37c48da631d.png,public,train,2
data/public/img/train/1d2135d8089ab0dff6db01348ba24c8f.jpg,data/public/ann/train/1d2135d8089ab0dff6db01348ba24c8f.png,public,train,0
data/public/img/train/1d69474b10a5e014eb5330e0d9be6bfb.jpg,data/public/ann/train/1d69474b10a5e014eb5330e0d9be6bfb.png,public,train,3
data/public/img/train/1d990842772b53eb75c69ffd62a7ca51.jpg,data/public/ann/train/1d990842772b53eb75c69ffd62a7ca51.png,public,train,3
data/public/img/train/1da77c38f8403fdc6077bb1e008bef37.jpg,data/public/ann/train/1da77c38f8403fdc6077bb1e008bef37.png,public,train,0
data/public/img/train/1db5b60374cb6e75188cd5ae153c0697.jpg,data/public/ann/train/1db5b60374cb6e75188cd5ae153c0697.png,public,train,0
data/public/img/train/1db6959f6b1b615d87222fa259e8c52b.jpg,data/public/ann/train/1db6959f6b1b615d87222fa259e8c52b.png,public,train,1
data/public/img/train/1dcdcb125506fb03951a68803dcba313.jpg,data/public/ann/train/1dcdcb125506fb03951a68803dcba313.png,public,train,4
data/public/img/train/1dceaa26f4014427ad0f8367007b72be.jpg,data/public/ann/train/1dceaa26f4014427ad0f8367007b72be.png,public,train,0
data/public/img/train/1ddac67a68db233affeb9d30d2ddd179.jpg,data/public/ann/train/1ddac67a68db233affeb9d30d2ddd179.png,public,train,3
data/public/img/train/1debbc062238e36dd79740f02e76ab29.jpg,data/public/ann/train/1debbc062238e36dd79740f02e76ab29.png,public,train,0
data/public/img/train/1dff8e9af4162fda6b091cbd8aa13430.jpg,data/public/ann/train/1dff8e9af4162fda6b091cbd8aa13430.png,public,train,0
data/public/img/train/1e8fa4df88fda4562ad70f5f67398043.jpg,data/public/ann/train/1e8fa4df88fda4562ad70f5f67398043.png,public,train,1
data/public/img/train/1e23c6268fc687bb03b1165a97b6e2d9.jpg,data/public/ann/train/1e23c6268fc687bb03b1165a97b6e2d9.png,public,train,1
data/public/img/train/1e041c0e2e7603c166229b160b00934a.jpg,data/public/ann/train/1e041c0e2e7603c166229b160b00934a.png,public,train,1
data/public/img/train/1e324f72e037dcec72356764ff9d1d8e.jpg,data/public/ann/train/1e324f72e037dcec72356764ff9d1d8e.png,public,train,2
data/public/img/train/1e713c4f110b61e9ee90aee0e187ca3c.jpg,data/public/ann/train/1e713c4f110b61e9ee90aee0e187ca3c.png,public,train,2
data/public/img/train/1e8917bed8b5d61eae6948519e786f6e.jpg,data/public/ann/train/1e8917bed8b5d61eae6948519e786f6e.png,public,train,1
data/public/img/train/1e46047b1ddb2369e493f9ccbce64388.jpg,data/public/ann/train/1e46047b1ddb2369e493f9ccbce64388.png,public,train,1
data/public/img/train/1e340082e6141887769ae4b931a61cca.jpg,data/public/ann/train/1e340082e6141887769ae4b931a61cca.png,public,train,2
data/public/img/train/1eb681633530e581ab5cf856a41b4317.jpg,data/public/ann/train/1eb681633530e581ab5cf856a41b4317.png,public,train,3
data/public/img/train/1ebfcfd7b163053e08f6d98fc2dcf943.jpg,data/public/ann/train/1ebfcfd7b163053e08f6d98fc2dcf943.png,public,train,3
data/public/img/train/1ebfd4b6067a168acaede6c957e183ad.jpg,data/public/ann/train/1ebfd4b6067a168acaede6c957e183ad.png,public,train,4
data/public/img/train/1ecdbb0a164b420d498e1bfe42c23d01.jpg,data/public/ann/train/1ecdbb0a164b420d498e1bfe42c23d01.png,public,train,4
data/public/img/train/1ee3e9f452a24d7c268aee3764005837.jpg,data/public/ann/train/1ee3e9f452a24d7c268aee3764005837.png,public,train,1
